Region_name Time_period Cluseter_id Lon(deg) Lat(deg) Depth(km) Magnitude Year Month Day Hour Minute Second
ALEUTIAN2 1995-1999 cluster_3 193.563 54.22800 5 4.7 1996 3 12 8 36 34.9200
ALEUTIAN2 1995-1999 cluster_3 193.793 54.07100 5 4.7 1996 3 13 3 38 38.2700
ALEUTIAN2 1995-1999 cluster_3 193.997 54.22000 5 4.8 1996 3 14 3 55 36.1700
ALEUTIAN2 1995-1999 cluster_3 193.999 54.20400 5 4.6 1996 3 14 5 43 53.6500
ALEUTIAN2 1995-1999 cluster_3 194.235 54.23600 5 4.7 1996 3 14 7 19 11.8300
ALEUTIAN2 1995-1999 cluster_3 193.899 54.31300 5 4.6 1996 3 14 7 28 44.2800
ALEUTIAN2 1995-1999 cluster_3 194.106 54.19700 5 4.6 1996 3 14 9 7 51.8100
ALEUTIAN2 1995-1999 cluster_3 194.083 54.07600 5 4.5 1996 3 14 9 18 10.2000
ALEUTIAN2 1995-1999 cluster_3 194.037 54.23000 5 4.7 1996 3 14 10 0 18.2100
ALEUTIAN2 1995-1999 cluster_3 194.016 54.20900 5 4.6 1996 3 14 10 51 15.3800
ALEUTIAN2 1995-1999 cluster_3 194.174 54.12500 5 5. 1996 3 14 11 56 13.9000
ALEUTIAN2 1995-1999 cluster_3 194.01 54.11400 5 4.9 1996 3 14 13 13 38.0900
ALEUTIAN2 1995-1999 cluster_3 194.094 54.15600 5 5. 1996 3 14 15 21 31.3200
ALEUTIAN2 1995-1999 cluster_3 194.156 54.13400 5 5.2 1996 3 14 16 13 51.6000
ALEUTIAN2 1995-1999 cluster_3 194.003 54.18100 5 4.6 1996 3 14 17 0 8.3800
ALEUTIAN2 1995-1999 cluster_3 194.007 54.13600 5 4.5 1996 3 14 18 23 20.2300
ALEUTIAN2 1995-1999 cluster_3 193.877 54.11700 5 5. 1996 3 14 19 27 57.8500
ALEUTIAN3 1995-1999 cluster_2 192.394 52.58800 33 4.5 1998 1 5 9 29 24.3800
ALEUTIAN3 1995-1999 cluster_2 191.357 52.37900 33 5.9 1998 1 23 9 20 8.2800
ALEUTIAN3 1995-1999 cluster_2 191.332 52.30800 33 5.2 1998 1 23 9 25 23.2400
ALEUTIAN3 1995-1999 cluster_2 191.433 52.32500 33 4.9 1998 1 23 9 37 47.9000
ALEUTIAN3 1995-1999 cluster_2 191.482 52.49100 33 4.6 1998 1 23 10 48 1.6000
ALEUTIAN3 1995-1999 cluster_2 191.385 52.32800 33 5.4 1998 1 23 12 27 54.9500
ALEUTIAN3 1995-1999 cluster_2 191.386 52.26100 33 5.3 1998 1 23 13 43 32.4600
ALEUTIAN3 1995-1999 cluster_2 191.669 52.46400 33 4.7 1998 1 24 0 52 52.7900
ALEUTIAN3 1995-1999 cluster_2 191.577 52.52300 33 4.7 1998 1 26 6 1 6.4300
ALEUTIAN3 1995-1999 cluster_2 191.678 52.22700 33 5.2 1998 1 26 7 40 26.0000
ALEUTIAN3 1995-1999 cluster_2 191.626 52.60400 33 4.6 1998 1 29 7 0 3.2600
ALEUTIAN3 1995-1999 cluster_2 191.762 52.61700 33 5.3 1998 2 22 10 49 0.5800
ALEUTIAN4 1995-1999 cluster_1 184.792 51.77900 33 4.7 1996 8 25 7 8 28.8800
ALEUTIAN4 1995-1999 cluster_1 184.99 51.50900 50.6 4.6 1996 9 18 21 23 54.5800
